date,entry_time,spot_price,atm,ce_strike,pe_strike,expiry,entry_ce,entry_pe,exit_time,exit_spot_price,exit_ce,exit_pe,exit_reason,pnl
2025-01-01,2025-01-01 09:15:00,23916.0,23900,24000,23800,2025-01-02,20.1,206.35,2025-01-01 09:18:00,24070.0,20.3,192.95,SL,-13.200000000000006
2025-01-02,2025-01-02 09:15:00,24040.65,24050,24150,23950,2025-01-09,89.3,290.4,2025-01-02 09:25:00,23889.4,90.0,309.3,Target,19.600000000000037
2025-01-03,2025-01-03 09:15:00,24232.0,24250,24350,24150,2025-01-09,97.4,189.3,2025-01-03 09:17:00,24512.0,98.0,180.5,SL,-8.200000000000017
2025-01-06,2025-01-06 09:15:00,24400.0,24400,24500,24300,2025-01-09,20.4,329.85,2025-01-06 09:22:00,24434.15,23.0,313.5,SL,-13.750000000000021
2025-01-07,2025-01-07 09:15:00,23833.0,23850,23950,23750,2025-01-09,85.5,172.45,2025-01-07 09:17:00,23841.2,83.95,164.5,SL,-9.499999999999986
2025-01-08,2025-01-08 09:15:00,23764.8,23750,23850,23650,2025-01-09,47.15,98.85,2025-01-08 09:16:00,24060.0,42.6,96.5,SL,-6.8999999999999915
2025-01-09,2025-01-09 09:15:00,24015.65,24000,24100,23900,2025-01-16,44.05,326.85,2025-01-09 09:25:00,23990.0,36.65,343.8,Target,9.54999999999999
2025-01-10,2025-01-10 09:15:00,23924.85,23900,24000,23800,2025-01-16,34.9,308.5,2025-01-10 09:18:00,23928.45,35.15,300.8,SL,-7.449999999999989
2025-01-13,2025-01-13 09:15:00,23300.0,23300,23400,23200,2025-01-16,100.3,139.4,2025-01-13 09:25:00,23598.25,97.6,143.05,Target,0.9500000000000028
2025-01-14,2025-01-14 09:15:00,23551.0,23550,23650,23450,2025-01-16,16.0,260.9,2025-01-14 09:19:00,23551.0,14.95,253.85,SL,-8.099999999999984
2025-01-15,2025-01-15 09:15:00,23583.0,23600,23700,23500,2025-01-16,5.0,258.5,2025-01-15 09:25:00,23277.2,4.1,271.4,Target,11.999999999999977
