date,entry_time,spot_price,atm,expiry,entry_ce,entry_pe,exit_time,exit_spot_price,exit_ce,exit_pe,pnl
2023-03-29,2023-03-29 09:20:00,17101.25,17100,2023-04-06,99.1,170.0,2023-03-29 15:25:00,17280.15,129.2,97.5,-42.400000000000006
2023-03-31,2023-03-31 09:20:00,17397.2,17400,2023-04-06,44.3,184.45,2023-03-31 15:25:00,17446.1,76.8,112.25,-39.69999999999999
2023-04-03,2023-04-03 09:20:00,17544.2,17550,2023-04-06,24.05,206.7,2023-04-03 15:25:00,17541.8,14.25,160.7,-55.8
2023-04-05,2023-04-05 09:20:00,17573.6,17550,2023-04-06,18.9,127.4,2023-04-05 15:25:00,17727.45,46.6,38.1,-61.60000000000001
2023-04-06,2023-04-06 09:20:00,17651.0,17650,2023-04-13,52.7,177.75,2023-04-06 15:25:00,17715.0,65.1,110.75,-54.60000000000001
2023-04-10,2023-04-10 09:20:00,17749.05,17750,2023-04-13,36.45,146.0,2023-04-10 15:25:00,17740.2,23.0,142.45,-17.000000000000014
2023-04-11,2023-04-11 09:20:00,17801.15,17800,2023-04-13,21.2,128.3,2023-04-11 15:25:00,17848.0,24.4,91.15,-33.95
2023-04-12,2023-04-12 09:20:00,17840.0,17850,2023-04-13,11.15,133.15,2023-04-12 15:25:00,17920.0,29.45,65.55,-49.30000000000001
2023-04-13,2023-04-13 09:20:00,17932.55,17950,2023-04-20,39.15,188.85,2023-04-13 15:25:00,17985.0,42.2,136.5,-49.29999999999999
2023-04-17,2023-04-17 09:20:00,17723.6,17700,2023-04-20,87.5,97.35,2023-04-17 15:25:00,17816.65,78.7,62.75,-43.39999999999999
2023-04-18,2023-04-18 09:20:00,17820.25,17800,2023-04-20,37.4,104.1,2023-04-18 15:25:00,17828.95,14.7,139.1,12.3
2023-04-19,2023-04-19 09:20:00,17737.95,17750,2023-04-20,15.3,126.05,2023-04-19 15:25:00,17706.8,5.7,139.45,3.79999999999999
2023-04-20,2023-04-20 09:20:00,17765.3,17750,2023-04-27,75.1,118.85,2023-04-20 15:25:00,17773.85,48.55,143.3,-2.09999999999998
2023-04-21,2023-04-21 09:20:00,17781.8,17800,2023-04-27,33.45,168.85,2023-04-21 15:25:00,17760.1,21.3,176.05,-4.949999999999985
2023-04-24,2023-04-24 09:20:00,17693.8,17700,2023-04-27,65.55,75.8,2023-04-24 15:25:00,17828.0,101.25,35.8,-4.299999999999997
2023-04-25,2023-04-25 09:20:00,17802.2,17800,2023-04-27,32.75,95.4,2023-04-25 15:25:00,17777.95,36.6,60.9,-30.650000000000006
2023-04-26,2023-04-26 09:20:00,17821.5,17800,2023-04-27,26.4,78.8,2023-04-26 15:25:00,17896.8,52.45,26.0,-26.749999999999993
2023-04-27,2023-04-27 09:20:00,17883.75,17900,2023-05-04,66.25,129.45,2023-04-27 15:25:00,17916.1,107.25,67.0,-21.44999999999999
2023-04-28,2023-04-28 09:20:00,18154.95,18150,2023-05-04,21.15,211.8,2023-04-28 15:25:00,18236.0,30.7,116.35,-85.90000000000002
2023-05-03,2023-05-03 09:20:00,18195.1,18200,2023-05-04,13.8,136.5,2023-05-03 15:25:00,18285.45,12.55,114.9,-22.849999999999994
